Diff,Time1,Start,End,Time2,target
60,-31.88671875,120.0,2026-06-26 07:29:00+05:30,2026-06-26 07:31:00+05:30,120.0,0
61,18.16796875,120.0,2026-06-26 07:31:00+05:30,2026-06-26 07:33:00+05:30,60.0,0
62,-58.12890625,60.0,2026-06-26 07:33:00+05:30,2026-06-26 07:34:00+05:30,180.0,1
63,45.578125,180.0,2026-06-26 07:34:00+05:30,2026-06-26 07:37:00+05:30,120.0,0
64,-125.140625,120.0,2026-06-26 07:37:00+05:30,2026-06-26 07:39:00+05:30,60.0,0
65,57.97265625,60.0,2026-06-26 07:39:00+05:30,2026-06-26 07:40:00+05:30,240.0,1
66,-651.62109375,240.0,2026-06-26 07:40:00+05:30,2026-06-26 07:44:00+05:30,60.0,0
67,78.0703125,60.0,2026-06-26 07:44:00+05:30,2026-06-26 07:45:00+05:30,60.0,0
68,-161.01953125,60.0,2026-06-26 07:45:00+05:30,2026-06-26 07:46:00+05:30,60.0,0
69,237.0,60.0,2026-06-26 07:46:00+05:30,2026-06-26 07:47:00+05:30,300.0,1
70,-417.19140625,300.0,2026-06-26 07:47:00+05:30,2026-06-26 07:52:00+05:30,540.0,2
71,577.19921875,540.0,2026-06-26 07:52:00+05:30,2026-06-26 08:01:00+05:30,60.0,0
72,-241.98828125,60.0,2026-06-26 08:01:00+05:30,2026-06-26 08:02:00+05:30,120.0,0
73,164.01171875,120.0,2026-06-26 08:02:00+05:30,2026-06-26 08:04:00+05:30,60.0,0
74,-19.47265625,60.0,2026-06-26 08:04:00+05:30,2026-06-26 08:05:00+05:30,60.0,0
75,1.44921875,60.0,2026-06-26 08:05:00+05:30,2026-06-26 08:06:00+05:30,120.0,0
76,-150.7265625,120.0,2026-06-26 08:06:00+05:30,2026-06-26 08:08:00+05:30,60.0,0
77,104.73828125,60.0,2026-06-26 08:08:00+05:30,2026-06-26 08:09:00+05:30,120.0,0
78,-61.37890625,120.0,2026-06-26 08:09:00+05:30,2026-06-26 08:11:00+05:30,120.0,0
79,89.578125,120.0,2026-06-26 08:11:00+05:30,2026-06-26 08:13:00+05:30,120.0,0
80,-111.80078125,120.0,2026-06-26 08:13:00+05:30,2026-06-26 08:15:00+05:30,60.0,0
81,27.8203125,60.0,2026-06-26 08:15:00+05:30,2026-06-26 08:16:00+05:30,120.0,0
82,-201.23828125,120.0,2026-06-26 08:16:00+05:30,2026-06-26 08:18:00+05:30,120.0,0
83,115.62109375,120.0,2026-06-26 08:18:00+05:30,2026-06-26 08:20:00+05:30,180.0,1
84,-226.83984375,180.0,2026-06-26 08:20:00+05:30,2026-06-26 08:23:00+05:30,60.0,0
85,17.4296875,60.0,2026-06-26 08:23:00+05:30,2026-06-26 08:24:00+05:30,120.0,0
86,-38.08984375,120.0,2026-06-26 08:24:00+05:30,2026-06-26 08:26:00+05:30,120.0,0
87,90.55859375,120.0,2026-06-26 08:26:00+05:30,2026-06-26 08:28:00+05:30,60.0,0
88,-7.83984375,60.0,2026-06-26 08:28:00+05:30,2026-06-26 08:29:00+05:30,60.0,0
89,30.41796875,60.0,2026-06-26 08:29:00+05:30,2026-06-26 08:30:00+05:30,120.0,0
90,-190.0,120.0,2026-06-26 08:30:00+05:30,2026-06-26 08:32:00+05:30,180.0,1
91,315.953125,180.0,2026-06-26 08:32:00+05:30,2026-06-26 08:35:00+05:30,120.0,0
92,-70.7421875,120.0,2026-06-26 08:35:00+05:30,2026-06-26 08:37:00+05:30,240.0,1
93,290.58984375,240.0,2026-06-26 08:37:00+05:30,2026-06-26 08:41:00+05:30,120.0,0
94,-37.078125,120.0,2026-06-26 08:41:00+05:30,2026-06-26 08:43:00+05:30,60.0,0
95,6.9609375,60.0,2026-06-26 08:43:00+05:30,2026-06-26 08:44:00+05:30,60.0,0
96,-15.90234375,60.0,2026-06-26 08:44:00+05:30,2026-06-26 08:45:00+05:30,60.0,0
97,15.3203125,60.0,2026-06-26 08:45:00+05:30,2026-06-26 08:46:00+05:30,120.0,0
98,-56.140625,120.0,2026-06-26 08:46:00+05:30,2026-06-26 08:48:00+05:30,60.0,0
99,56.9609375,60.0,2026-06-26 08:48:00+05:30,2026-06-26 08:49:00+05:30,60.0,0
100,-10.26171875,60.0,2026-06-26 08:49:00+05:30,2026-06-26 08:50:00+05:30,60.0,0
101,6.69140625,60.0,2026-06-26 08:50:00+05:30,2026-06-26 08:51:00+05:30,120.0,0
102,-83.05859375,120.0,2026-06-26 08:51:00+05:30,2026-06-26 08:53:00+05:30,240.0,1
103,350.0,240.0,2026-06-26 08:53:00+05:30,2026-06-26 08:57:00+05:30,180.0,1
104,-117.53125,180.0,2026-06-26 08:57:00+05:30,2026-06-26 09:00:00+05:30,180.0,1
105,177.44140625,180.0,2026-06-26 09:00:00+05:30,2026-06-26 09:03:00+05:30,60.0,0
106,-22.953125,60.0,2026-06-26 09:03:00+05:30,2026-06-26 09:04:00+05:30,360.0,2
107,270.8125,360.0,2026-06-26 09:04:00+05:30,2026-06-26 09:10:00+05:30,120.0,0
108,-64.25,120.0,2026-06-26 09:10:00+05:30,2026-06-26 09:12:00+05:30,300.0,1
109,429.26953125,300.0,2026-06-26 09:12:00+05:30,2026-06-26 09:17:00+05:30,60.0,0
110,-183.94140625,60.0,2026-06-26 09:17:00+05:30,2026-06-26 09:18:00+05:30,120.0,0
111,80.4921875,120.0,2026-06-26 09:18:00+05:30,2026-06-26 09:20:00+05:30,60.0,0
112,-11.76171875,60.0,2026-06-26 09:20:00+05:30,2026-06-26 09:21:00+05:30,60.0,0
113,98.90234375,60.0,2026-06-26 09:21:00+05:30,2026-06-26 09:22:00+05:30,60.0,0
114,-42.390625,60.0,2026-06-26 09:22:00+05:30,2026-06-26 09:23:00+05:30,180.0,1
115,250.3203125,180.0,2026-06-26 09:23:00+05:30,2026-06-26 09:26:00+05:30,120.0,0
116,-118.9296875,120.0,2026-06-26 09:26:00+05:30,2026-06-26 09:28:00+05:30,60.0,0
117,128.37890625,60.0,2026-06-26 09:28:00+05:30,2026-06-26 09:29:00+05:30,60.0,0
118,-145.73046875,60.0,2026-06-26 09:29:00+05:30,2026-06-26 09:30:00+05:30,60.0,0
119,20.26953125,60.0,2026-06-26 09:30:00+05:30,2026-06-26 09:31:00+05:30,60.0,0
120,-55.16796875,60.0,2026-06-26 09:31:00+05:30,2026-06-26 09:32:00+05:30,180.0,1
121,39.87890625,180.0,2026-06-26 09:32:00+05:30,2026-06-26 09:35:00+05:30,60.0,0
122,-15.30078125,60.0,2026-06-26 09:35:00+05:30,2026-06-26 09:36:00+05:30,120.0,0
123,113.23046875,120.0,2026-06-26 09:36:00+05:30,2026-06-26 09:38:00+05:30,60.0,0
124,-82.140625,60.0,2026-06-26 09:38:00+05:30,2026-06-26 09:39:00+05:30,120.0,0
125,118.33203125,120.0,2026-06-26 09:39:00+05:30,2026-06-26 09:41:00+05:30,120.0,0
126,-127.78125,120.0,2026-06-26 09:41:00+05:30,2026-06-26 09:43:00+05:30,240.0,1
127,312.3984375,240.0,2026-06-26 09:43:00+05:30,2026-06-26 09:47:00+05:30,60.0,0
